tak,,,Origin,,,,,,,,Rationale,,,,,,,,,Data,,,,,,,,,,,,EEG processing,,,,,,,,Methodology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Results and discussion,,,,,,,,,,,,,Reviewed by,,,,
,Title,Year,Authors,Journal / Origin,Preprint first,Type of paper,Lab / School / Company,Country,Pages,,Domain 1,Domain 2,Domain 3,Domain 4,High-level Goal,Practical Goal,Task/Paradigm,Motivation for DL,,EEG Hardware,Neural response pattern,Dataset name,Dataset accessibility,Data,Data - samples,Data - time,Data - subjects,Nb Channels,Sampling rate,Offline / Online,,Preprocessing,Preprocessing (clean),Artefact handling,Artefact handling (clean),Features,Features (clean),Normalization,,Software,Architecture,Architecture (clean),Design peculiarities,EEG-specific design,Network Schema,Input format,Layers,Layers (clean),Activation function,Regularization,Regularization (clean),Nb Classes,Classes,Output format,Nb Parameters,Training procedure,Training procedure (clean),Optimizer,Optimizer (clean),Optim parameters,Minibatch size,Hyperparameter optim,Hyperparameter optim (clean),Data augmentation,Loss,Intra/Inter subject,Cross validation,Cross validation (clean),Data split,Performance metrics,Performance metrics (clean),Training hardware,,Training time,Results,Benchmarks,Baseline model type,Statistical analysis of performance,Analysis of learned parameters,Model inspection (clean),Discussion,Limitations,Code available,Code hosted on,Limited data,,First Reader,Second Reader,Validated by Author(s),,Citation
??,Spectrographic Seizure Detection Using Deep Learning With Convolutional Neural Networks,2018,"Yan, Wang & Grinspan",Neurology,No,Supplement,Well Cornell Medical College New York,USA,,,Classification of EEG signals,Clinical,Epilepsy,Detection,Improve State-of-the-Art: Using CNN on Spectrogram for Seizure Detection,,"Existing dataset, no mention of any task.
(Supposed: Resting Sate)",,,N/M,"Raw EEG
(Seizure)",CHB-MIT,Public,"130 EEGs with 177 total seizures, and 549 EEGs without seizures. >90% of seizures were <2 minutes long. 130 EEGs with seizure and 130 randomly selected EEGs without seizures were converted to the median power spectrogram (MPS). The training set consisted of 16,992 seizure containing images and 16,992 images without seizures (80% of total images). The testing set contained 4,248 seizure containing images and 4,248 images without seizures (20% of total images).",33984,N/M,N/M,-1,N/M,,,N/M*,N/M,N/M,N/M,Medium Power Spectrogram (MPS),Frequency-domain,,,N/M*,"CNN
(4 variants of VGG16)",CNN,N/M*,,No,"Images 
(1s sliding window of MPS)",16,N/M,,Dropout: 0.5,Yes,,,N/M*,N/M*,N/M,N/M,N/M,N/M,,,,N/M,No,N/M*,Inter,N/M,No,"Train: 80%
Test: 20%","Sensitivity
Specificity","sensitivity, specificity",,,N/M*,All four CNN variants achieved >98% sensitivity and specificity,N/M*,None,No,No,No,"""Convolutional neural nets can achieve high sensitivity and specificity in detecting seizures within spectrograms. However, generalizability and overfitting remains a concern. Further evaluation with more diverse data sets, images grouped by individual seizures, and additional regularization techniques is warranted.""",,No,N/A,TBD,,Yannick Roy,TBR,TBC,,Yan2018
,Generating target / non-target images of an RSVP experiment from brain signals in by conditional generative adversarial network,2018,Lee & Huang,IEEE EMBS International Conference on Biomedical & Health Informatics,No,Conference,"University of Texas, San Antonio",USA,4,,Generation of data,Generating images conditioned on EEG,,,Novel Approach: generating images confitioned on EEG,Using EEG from RSVP to generate images (target or non-target),RSVP - 5 Images/s,GAN models.,,ActiveTwo (BioSemi),RSVP,Internal Recordings,Private,"10 subjects, 5 sessions (~1h /session), 880 Epochs
(1s windows)",880,14.6,10,32,-1,Offline,,"- PREP Pipeline (EEGLAB): bandpass (0.1-55 Hz), robust referencing, interpolating bad channels
- Downsampled to 32Hz
- Subset of 32 channels (visual cortex)",Yes,Yes,Yes,Raw EEG,Raw EEG,z-score,,EEGLAB,cGAN,GAN,"It's to generate the image, not the EEG data. Based on DCGAN",N/A,Yes,"32 x 32
(channels x samples)","Generator: 4
Discriminator: 4",4,"G: Leaky ReLU
D: ReLU",N/M,N/M,N/A,N/A,64 x 64 (image),N/M,GAN Style.,Standard,N/M,N/M,N/M,16,N/M,N/M,N/M,N/M,Inter,No,No,"Train: 704 epochs 
Test: 176 epochs",Visual inspection (making sure generated image is of the right class),visual inspection,N/M,,2-3h,Accuracy: 0.625,None,None,No,Occlusion of input EEG and visualization of generated image,Occlusion of input,We demonstrated the performance of the proposed cGAN model and showed that generation with raw or normalized EEG produced better performance than that with added noise. We also showed how this model could be used for investigating the EEG and image associations.,N/M,No,N/A,No,,Yannick Roy,Hubert Banville,TBC,,Lee2018
,Cross-Participant EEG-Based Assessment of Cognitive Workload Using Multi-Path Convolutional Recurrent Neural Networks,2018,"Hefron, Borghetti, Schubert Kabban, Christensen & Estepp",Sensors,No,Journal,Air Force Institute of Technology (Ohio),USA,27,,Classification of EEG signals,Monitoring,Cognitive,Mental workload,Novel Approach: Using a Multi-Path Convolutional Recurrent Neural Network (MPCRNN) to improve SOTA on cross-participant classification of cognitive workload ,Tackle cross-subs variability in cognitive workload assessment,Multi-Attribute Task Battery (MATB) environment,,,ActiveTwo (BioSemi),None,Internal Recordings,Private,"8 subjects * 4 blocks * 6 conditions * 5 min
(1s windows)",57600,960,8,128,4096,,,"1) Trimmed to 303s trials
2) Downsampled to 512Hz
3) Down-selected 64 electrodes
4) PREP Pipeline to identify and interpolate bad channels, calculate a robust average reference, and remove line noise
5) High-Pass Filter: 1Hz
6) PSD 3-55Hz (2s Hanning-Windowed STFT, 1s overlap)",Yes,Yes (manual identification of high-variance segments),No,PSD - Frequency Bands (53),Frequency-domain,"[-1, 1]",,"Keras, TensorFlow","(multi-path, residual)
CNN
+
(bi-directional, residual)
LSTM",CNN+RNN,"It combines a wide multi-path, residual, convolutional networkwith a bi-directional, residual LSTM.",1x1 convolutions to act as cross-channel parametric pooling,Yes,"20x53x64
(time x frequency bands x channels)
","[very deep, see schema / paper]",8,ReLU and sigmoid,Dropout + batch normalization + early stopping + L1 + L2,Yes,,,"1
(Mental Workload)",N/M,Standard.,Standard,Adam,Adam,LR: from 0.0001 to 0.000001,128,N/M,N/M,N/M,Binary cross-entropy,Inter,"Test: Hold-out 1 Participant
Training: 7-Fold Cross-Validation","k-fold;
Holdout","Train: 6 participants
Validation: 1 participant
Test: 1 participant",Mean Accuracy,accuracy,N/M,,N/M,between 80-86% (depending on sequence length used as input),Simpler DL architectures,DL,ANOVA + post-hoc Tukey Honest Significant Difference tests,No,No,"We show that increasing sequence length—a common method to improve accuracy in non-stimulus-locked settings—increases both mean accuracy and variance at statistically significant levels for cross-participant models. Since variance grows with sequence length, increasing temporal sequence length does not adequately address the cross-participant modeling challenge: Producing high-accuracy models with low variance across participants.",N/M,No,N/A,Yes,,Yannick Roy,Isabela Albuquerque,TBC,,Hefron2018
,Classification of auditory stimuli from EEG signals with a regulated recurrent neural network reservoir ,2018,"Moinnereau, Brienne, Brodeur, Rouat, Whittingstall & Plourde",Arxiv,Yes,Preprint,Université de Sherbrooke,Canada,5,,Classification of EEG signals,BCI,Reactive,Heard speech decoding,Improve SOTA,Classify heard speech (vowels) from EEG,Auditory Stimuli + Imagined Speech,Can extract features automatically,,ActiCap/BrainAmp (BrainVision),Raw EEG,Internal Recordings,Private,"8 subjects x 3 stimuli x 200 times each
(2s windows, onset at 0.5s) 
(preprocessing removed 30%!)",4800,9600,8,64,N/M,Offline,,"1) Pass-Band Filter: 0.1-45Hz
2) Re-sampled at 500Hz
3) Windows of 2s (stimulus at 0.5s)
4) Trials with Amplitude > +-75uV rejected
5) Re-reference to local average",Yes,Yes (amplitude thresholding),Yes,"Spike Train from
Ben’s Spike Algorithm (BSA) ",Other,N/M,,Python,RNN Reservoir,RNN,The reservoir comprises 512 neurons placed in a three-dimensional grid where 80% are excitatory and 20% are inhibitory neurons,N/M,Yes,Spike Trains per channel,N/A,N/M,Leaky Integrate-and-Fire,N/M,N/M,3,"""a"", ""i"", ""u""",1,N/M,"Reservoir: unsupervised tuning
Classifier: linear regression",Standard,N/M,N/M,N/M,N/M,N/M,N/M,N/M,N/M,Intra,5-Fold CV,k-fold,"Train: 4/5
Test: 1/5",Accuracy,accuracy,N/M,,N/M,"83.2% (64 electrodes)
1 Electrode: 57.3% 
3 Electrodes: 71.4% 
10 Electrodes: 81.7%
[Chance: 33%]","CNN
(3 conv layers of 64 filters)",DL,No,No,No,"""It’s hard to compare these results with the previ- ous work where many different experimental conditions (e.g. different type and number of stimuli) and preprocessing has been used. However, we show here that excellent classifica- tion results can be obtained with minimal preprocessing of the EEGs.""",N/M,No,N/A,No,,Yannick Roy,Hubert Banville,TBC,,Moinnereau2018
,Deep learning for detection of epileptiform discharges from scalp EEG recordings,2018,"van Putten, de Carvalho, Tjepkema-Cloostermans",Clinical Neurophysiology,No,Journal,University of Twente,Netherlands,6,,Classification of EEG signals,Clinical,Epilepsy,Detection,Improve SOTA,Use CNN and/or LSTM to classify yes/no discharges,"Pre-Recorded EEG, no mention of any task.
(Supposed: Resting Sate and sleep)",DL is  promising novel approach and is able to learn from large data-sets,,N/M,"Raw EEG
",TBD,Private,"Training (41,381 epochs), Test (8775 epochs)
For validation we used 7 EEGs (47,122 epochs) with 538 focal epileptiform discharges and 12 normal EEGs (n = 11,782 epochs).
(2s windows, no overlap)",97278,3242.6,N/M,19,125,Offline,,"1) Band-Pass Filter: 0.5-35Hz
2) Re-referenced to both a longitudinal bipolar montage and a source Laplacian",Yes,No,No,Raw EEG,Raw EEG,N/M,,Keras,"CNN
RNN",CNN+RNN,Multiple designs,N/M,Yes,19 (channels) x 250 (2s) ,"CNN: 4-9 Layers
LSTM: 50-100 Units
Both w/ 1-3 FC Layers",12,N/M,Dropout (20-50%),Yes,2,"Normal
IED (discharge)","1
(prob [0,1] of discharge)",9142859,Standard,Standard,Adam,Adam,"LR:3e-3
Beta1: 0.91
Beta2: 0.999
Epsilon: 1e-8",N/M,N/M,N/M,N/M,Categorical Cross-Entropy,Inter,N/M,No,"Train: 41,381
Valid: 58,904
Test: 8,775","ROC AUC
Sensitivity
Specificity","ROC AUC, sensitivity, specificity",NVidia GTX 1080,,2h,"AUC: 0.94
Sensitivity: 0.73
Specificity: 1",None,None,No,No,No,"""We foresee that deep nets may outperform humans both in classification accuracy and speed, leading to a fundamental shift in clinical EEG analysis in the next decade.""",N/M,No,N/A,No,,Yannick Roy,Isabela Albuquerque,TBC,,VanPutten2018a
,"Cognitive Analysis of Working Memory Load from EEG, by a Deep Recurrent Neural Network",2018,"Kuanar, Athitsos, Pradhan, Mishra & Rao",ICASSP,No,Conference,"University of Texas, Arlington",USA,5,,Classification of EEG signals,Monitoring,Cognitive,Mental workload,Improve State-of-the-Art: Using RNN to measure levels of cognitive load.,"Extract features less sensitive to
variations along each spatial dimension","Working memory / workload experiment.
(showing a set of letters and then showing a letter asking if the letter was part of the set) Sets of 4,6,8,10 letters corresponding to mental workload 1,2,3,4.",ConvNets have demonstrated the ability to extract features that are invariant to changes in input patterns,,Neurofax EEG-1200 (Nihon Kohden),PSD,NIMHANS,Private,"6490 samples, from 22 subjects
Each trial of 4.5s sliced into 0.5s and an image was constructed over each time slice.",58410,486.75,22,64,256,,,1) From 4.5s Windows to 9 Windows of 0.5s,Yes,No,No,"192 Features: 64 chan x 3 bands
Theta (4-7Hz), Alpha (8-13Hz), Beta (13-30Hz) (FFT)
Converted into images. (32x32)
3D electrodes spatial to 2D.",Frequency-domain,N/M,,"Theano, Python",CNN + BiLSTM,CNN+RNN,"Transforming channels and frequency bands into images of 0.5s windows, fed to an Hybrid CNN+BiLSTM",N/M,Yes,"EEG Images 32x32
(0.5s windows)
(mixing 3 freq bands + 64 channels)","9 Conv Layers + 1 FC
+ 2 LSTM Layers of 64 units + 1 FC",13,Sigmoid,Dropout (0.5) + L2 (0.0001),Yes,,,"4 Classes
(Softmax)",1.66 Mil,Standard,Standard,Adam,Adam,"LR: 10^-4
Beta1: 0.9
Beta2: 0.99",30,N/M,N/M,"Gaussian noise
(on image)",Cross-Entropy,Inter,Leave-One-Subject-Out,Leave-One-Subject-Out,N/M,Accurary,accuracy,NVidia K40,,18h,92.50%,"SVM, Logistic Regression, Random Forest",Traditional pipeline,No,No,No,"""Our implementation was different from the previous attempts and learned the robust representations from EEG image sequences using a ConvNet and BiLSTM hybrid network. Our proposed hybrid network demonstrated the significant improvements in finding better classification accuracy i.e. up to 92.5% over various existing LSTM models.""",N/M,Yes,Website,No,,Yannick Roy,Isabela Albuquerque,TBC,,Kuanar2018
,A Deep Learning Approach with an Attention Mechanism for Automatic Sleep Stage Classification,2018,Längkvist & Loutfi,Arxiv,Yes,Preprint,Orebro University,Sweden,18,,Classification of EEG signals,Clinical,Sleep,Staging,"New approach: ""Explore the advantages of using a model qith selective attention applied to automatic sleep staging""",Learn representations of sleep EEG with attention,Sleep (PSG),Learn better features,,N/M,Sleep,UCDDB,Public,"25 x 6-9 hours (est. at 7.5h) 
(30s windows, no overlap)",22500,11250,25,1,128,Offline,,"1) Notch Filter: 50Hz
2) Down-Sampled to 64Hz
3) Band-Pass Filter: 0.3-32Hz",Yes,N/M,N/M,"28 Features: Relative Power: Delta (0.5 − 4Hz), Theta (4−8Hz), Alpha (8−13Hz), Beta (13−20Hz), & Gamma (20−32Hz), Entropy, Kurtosis, and Spectral Mean of all signals and fractal component of EEG.  [+ EOG & EMG features]",Frequency-domain,z-score,,N/M,SAE,AE,"Attention Mechanism
(static & adaptive approaches)",N/M,No,28,1,1,Sigmoid,"L2 normalization
KL term in cost function for sparsity",Yes,5,"SWS, S2, S1, REM, Awake","5 Classes
(Softmax)",N/M,"1) Training AE
2) Training softmax layer on learned features",Pre-training,SGD with momentum,SGD,"Momentum: 0.9
LR decay: 0.01",30,Random grid search,Yes,N/M,MSE,Inter,5-Fold CV,k-fold,"Train: 60%
Valid: 20%
Test: 20%",Accurary,accuracy,N/M,,2-3h,60-90% on each of the 5 classes.,"DBN
SAE (standard a)
SAE (fixed a)
SAE (adaptive a)",DL,No,Visualization of attention mechanism weights,Analysis of weights,"""[...] Many of the used features try to capture the most relevant information for the current sleep stage and therefore mimic the standard Rechtschaffen and Kales (R&K) system [38, 18, 17] that is manually used by sleep technicians.""",Unsupervised learning treats all features equally; that's why attention mechanism is useful,No,N/A,No,,Yannick Roy,Hubert Banville,TBC,,Langkvist2018
,On the Classification of SSVEP-Based Dry-EEG Signals via Convolutional Neural Networks,2018,"Aznan, Bonner, Connolly, Moubayed & Breckon",Arxiv,Yes,Preprint,Durham University,UK,6,,Classification of EEG signals,BCI,Reactive,SSVEP,Improve State-of-the-Art,Apply CNN to SSVEP with dry EEG headset,SSVEP,Want an end-to-end system (no need to extract features),,Quick-20 (Cognionics),SSVEP,Internal Recordings,Private,"4 subjects, 4 classes 
640 trials total (160 per class) x 3s",640,32,4,20,500,Offline,,None,No,No,No,None,Raw EEG,N/A,,Pytorch,CNN,CNN,-,Layer 1: temporal filter,Yes,N/M,"2
(Tried 7 in the end)",2,ReLU,"L2 normalization
Dropout (50%)",Yes,,,4,N/M,Standard optimization,Standard,Adam,Adam,N/M,32,Grid search,Yes,No,Categorical cross-entropy,Both,"10-Fold CV
and
Leave-One-Subject-Out","k-fold;
Leave-One-Subject-Out",N/M,Accuracy,accuracy,Nvidia GTX 1060,,4 min,"Subject 1 - all data: 96%
Subject 1-3 (individually, only 20 trials each): mean of 89%
Across-subjects: 78%
Leave-one-subject:out:59% ","Traditional feature-based pipeline (Riemannian Geometry + classifier)
RNN, LSTM, GRU",DL & Trad.,No,No,No,Repeating the convolutional layer block increased accuracy on the held-out subject.,N/M,No,N/A,Yes,,Hubert Banville,Isabela Albuquerque,TBC,,Aznan2018
,A Long Short-Term Memory deep learning network for the prediction of epileptic seizures using EEG signals,2018,"Tsiouris, Pezoulas, Zervakis, Konitsiotis, Koutsouris & Fotiadis",Computers in Biology and Medicine,No,Journal,National Technical University of Athens,Greece,14,,Classification of EEG signals,Clinical,Epilepsy,Prediction,"New Approach: Using LSTM for seizure detection. (claiming they are the first ones but they are not, so its a Improve SOTA)",Apply LSTM for seizure detection on CHB-MIT,"Resting State, Eyes Open, Eyes Closed, Seizures.","Expand from CNN to LSTM. (they claimed to be first, but they are not...)",,N/M,Seizures,CHB-MIT,Public,"983h, 185 seizures
(5s windows, no overlap)",707760,58980,23,23,256,,,"1) Selecting only channels that are stable across recordings (for cross-validation)
2) Kept 18 channels.",Yes,No,No,"Time Domain: the 4 Statistical Moments, Standard Dev, Zero Crossings, Peak-to-peak Voltage, Total signal area, decorrelation time.
Frequency Domain: FFT (PSD), DWT.
Cross-Correlation: Max absolute coefficient.
Graph Theory: Local & Global measures.
(all on 5s windows)",Combination,N/M,,"Keras
Tensorflow
Python 3.6",LSTM,RNN,-,LSTM Length: predicting seizures from 15 min before onset to 120 min before onset,Yes,"Features x EEG Segments

643x[5-50]","LSTM_1: 1 (32 HU)
LSTM_2: 1 (128 HU)
LSTM_3: 2 (128/128 HU)

+ 1 FC (30)",3,ReLU,"Dropout
(finally discarded, because the shuffling of data seems to be enough)",Yes,,,"2
(Softmax, 1 hot encoded: preictal or interictal)",N/M,"By shuffling the EEG segments that are used as input, the LSTM network is forced to learn more generic preictal patterns as each sequence consists of random, non-adjacent preictal segments that not only come from various locations with different time distances from the actual seizure onset, but also from the preictal activity of different seizures.",Standard,Adam,Adam,"LR: 0.001
B1: 0.9
B2: 0.999
Decay: 0",10,Manually trying 3 different configurations,Yes,Splitted minority class in smaller subgroups to balance classes,Cross-Entropy,Both,10-Fold CV,k-fold,"Eval: 3/24 
Train: N/M 
(assuming 21/24)","Sensitivity (SEN)
Specificity (SPEC)
False Prediction Rate (FPR)
Preictal Window","sensitivity, specificity, false prediction rate","N/M
(they seem to say CPU)",,N/M,"[Segments] SEN, SPEC |  [Events] SEN, FPR

15-min Preictal Window: 99.28, 99.28 |  100, 0.107
30-min Preictal Window: 99.37, 99.60 |  100, 0.063
60-min Preictal Window: 99.63, 99.78 |  100, 0.032
120-min Preictal Window: 99.84, 99.86 |  100, 0.02","SVM
Decision Trees
Repeated Incremental Pruning to Produce Error Reduction (RIPPER)

(LSTM outperforms all of them on all subjects)",Traditional pipeline,No,No,No,"In theory, better EEG signal representation could be learned if the size of LSTM network was substantially increased, by adding more layers and memory units, to compensate for the increased input size of directly providing the EEG signals. However, the computational cost of training larger LSTM networks increases rapidly requiring more training time or using arrays of GPUs. Even if computational cost was not a problem, this approach would require even more EEG data to effectively train the millions of network parameters.","1) Overal amount of Data
2) Number of Seizures",No,N/A,Yes,,Yannick Roy,Isabela,TBC,,Tsiouris2018
,Joint Classification and Prediction CNN Framework for Automatic Sleep Stage Classification,2018,"Phan, Andreotti, Cooray, Chén & De Vos",Arxiv,Yes,Preprint,University of Oxford,UK,11,,Classification of EEG signals,Clinical,Sleep,Staging,"Improve State-of-the-Art
(~New task: predict neighboring classes too)",Use one-to-many approach with a multi-task softmax to leverage neighboring data to predict sleep stage,Sleep,"Re-using their previous network.
(H. Phan et al., 2018)",,N/M,Sleep events,MASS,Public,"228,870 epochs x 30s
from 200 subjects",228870,114435,200,1,100,Offline,,"1) Convert 20s epochs in 30s epochs
    (+5s before + 5s after)",Yes,N/M,N/M,"Spectrogram (STFT)
Hamming window 2s + 50% overlap
Log Spectrum",Frequency-domain,N/M*,,Tensorflow,CNN,CNN,Conv-Pool-Softmax,Layer 0: filter bank on spectrogram,Yes,"129 x 29 x {1, 2, 3}
Bins x time, x channels
30-s epochs","1

(1xCNN +Pooling +Softmax)",1,ReLU,"L2
Dropout (20%)",Yes,5,"Wake
N1, N2, N3
REM",5 x (1 + 2 * nb of neighbouring windows),N/M*,Standard optimization,Standard,Adam,Adam,LR: 0.0001,200,N/M,N/M,Randomly selected batch with balanced classes,Categorical cross-entropy,Inter,"Leave-10-Subjects-Out
(20-Fold CV)",Leave-N-Subjects-Out,"Train: 180 subjects
Valid: 10 subjects
Test: 10 subjects","Accuracy, Kappa, Specificity, Sensitivity, F1-score","accuracy, Cohen's kappa, specificity, sensitivity, f1-score",N/M*,,1.36 hours,Multimodal acc.: 83.6 %,"One-to-one and Many-to-one with same architecture and with a different ConvNet architecture without l-max pooling
DeepCNN
DeepSleepNet",DL,No,No,No,"Increasing the number of filters in the Conv layer doesn't impact the performance much
Adding other modalities (EOG, EMG) lead to significant improvements
A context size larger than 3 leads to performance degradation
Using recurrent layers might help",No,No,N/A,No,,Hubert Banville,Yannick,TBC,,Phan2018
,Deep Convolution Neural Network and Autoencoders-Based Unsupervised Feature Learning of EEG Signals,2018,Wen & Zhang,IEEE Access,No,Journal,Xiamen University,China,12,,Improvement of processing tools,Feature learning,,,Improve SOTA,Learn features for epilepsy detection using unsupervised learning,"Resting State, Eyes Open, Eyes Closed, Seizures.",Learn features automatically,,N/M,Raw EEG,"Bonn University;
CHB-MIT",Public,"DS #1 - Bonn University (A,B,C,D,E)
5x 100 epochs of 23.6s
DS #2 - CHB-MIT (first 10 subjects)
200 + 200 examples of 4096 (@ 256Hz = 16s)","500;
400","197;
106.6","10;
10",1,"173.61;
256",Offline,,"1) Common average reference
2) Bandpass 0.53-40 Hz",Yes,N/M,N/M,1) Chose single channel with the most variance,Raw EEG,min-max,,"Scikit-learn
Python",Convolutional AE,AE,Various (tried multiple classifiers on top of the encoder),-,Yes,4096 x 1,"9
[YR: not sure how HJB got that 9]",9,ReLU,N/M,N/M,2,"Seizure
No Seizure

(not explicit)",4096 x 1,N/M,"1) Training AE
2) Training standard classifier on learned features",Pre-training,Adam,Adam,N/M,N/M,N/M,N/M,N/M,Mean absolute error divided by input mean amplitude,Both,5 and 10 -Fold CV,k-fold,N/M,Accuracy,accuracy,N/M,,N/M,"No aggregate is reported...

(see paper, they report results per subject and per classifier)","PCA
Random projection",Traditional pipeline,No,No,No,"Less than 4 hidden units on the bottleneck layer led to a drop in accuracy as compared to standard dimensionality reduction techniques.
Their approach is flexible to new datasets...","""It is very difficult to train multiple hidden layers [...]"" ",No,N/A,No,,Hubert Banville,Yannick,TBC,,Wen2018
,Deep learning with convolutional neural networks for decoding and visualization of EEG pathology,2018,"Schirrmeister, Gemein, Eggensperger, Hutter & Ball",Arxiv,Yes,Preprint,University of Freiburg,Germany,7,,Classification of EEG signals,Clinical,Pathological EEG,,Improve SOTA ,End-to-end detection of abnormal EEG,N/M,Automated EEG diagnosis,,N/M,Raw EEG,TUH Abnormal EEG Corpus,Public,"TUH Abnormal Corpus
2740 + 277 = 3017 (x 16min)
(they explored using [1, 16] min)
(6s windows)",482720,48272,2132,21,250,,,"1) Select 21 electrodes common to all subjects 
2) Remove 1st minute
3) Crop to recording to up to 20 minutes
4) Clip amplitude to +-800uV
5) Resample to 100Hz",Yes,N/M,N/M,Raw EEG,Raw EEG,N/M,,Pytorch,CNN,CNN,Tried two architectures: shallow and deep CNNs,Shallow CNN tailored to decode band powers,Yes,600 x 21,"Deep: 5 conv layers
Shallow: 1 conv layer",5,ELU,N/M,N/M,,,2,N/M,Standard optimization,Standard,Adam,Adam,Used SMAC ,N/M,SMAC ,Yes,N/M,Binary cross-entropy,Inter,10-Fold CV,k-fold,"Train: 5480 (~90%)
Test: 554 (~10%)","Accuracy, Sensitivity, and Specificity","accuracy, sensitivity, specificity",N/M,,< 3.5 h,"Accuracy: 85.4% (deep), 84.5% (shallow)
Sensitivity: 75.1% (deep), 77.3% (shallow)
Specificity: 94.1% (deep), 90..5% (shallow)",CNN and linear model with band-power features as input,DL & Trad.,Wilcoxon signed-rank test,Effect of spectral perturbations of the input on the resulting prediction,Input-perturbation network-prediction correlation maps,"Perturbation visualizations showed that the CNNs used information related to changes in delta and theta bands. Suprisingly, shorter length EEG recordings yielded better accuracies.","""Still, to yield more clinically useful insights and diagnosis explanations, further improvements in ConvNet visualizations are needed.""",Yes,GitHub,No,,Isabela Albuquerque,Hubert Banville,TBC,,Schirrmeister2017a
,Predicting sex from brain rhythms with deep learning,2018,"van Putten, Olbrich & Arns",Scientific Reports (Nature),No,Journal,University of Twente,Netherlands,7,,Classification of EEG signals,Personal trait/attribute,Sex,,New Approach: Detecting Sex from RS EEG with DL (CNN),Predicting an individual's sex from their EEG,Resting State EEG.,"No need for engineered features, and ""have potential to detect subtle differences in otherwise similar patterns"".",,N/M,Raw EEG,Brain Resource Int'l Database,Public,"1308 subjects x 40 segments x 2s
(2s windows, no overlap)",52320,1744,1308,24,128,,,"1) Downsampled to 128Hz (from 500Hz)
2) Band-Pass Filter: 0.5-25Hz",Yes,EOG regression,Yes,Raw EEG,Raw EEG,N/M,,"Windows 10
Keras, Tensorflow
Python 3.6",CNN,CNN,None,N/M,Yes,"256 x 24
(Samples x Channels)
2s epoch",6,6,ReLU,Dropout,Yes,,,"1
0: Female  |   1: Male
(2 from schema)","9,051,902",Standard optimization,Standard,Adamax,Other,"LR=0.002, B1=0.9, B2=0.999, e=10^8, decay=0.00",70,N/M,N/M,N/M,Categorical Cross-Entropy,Inter,No,No,"Train: 1000 subjects
Test: 308 subjects",Accuracy,accuracy,NVidia GTX-1060,,N/M,"81% 
(of correct classification over all subjects)",LR,Traditional pipeline,Permutation test,Visualization of learned filters through Deep Dream-like backprop on inputs,Generating input to maximize activation,"While not all details of the features used for classification by the deep net have been revealed, our data show that differences in brain rhythms between sexes are mainly in the beta frequency range.",N/M,No,N/A,No,,Yannick Roy,Hubert Banville,TBC,,VanPutten2018b
,Deep learning with EEG spectrograms in rapid eye movement behavior disorder,2018,"Ruffini, Ibanez, Castellano, Dubreuil, Gagnon, Montplaisir & Soria-Frisch",BioarXiv,Yes,Preprint,"NeuroElectrics
University of Montreal",Canada,10,,Classification of EEG signals,Clinical,Sleep,Abnormality detection,New Approach,Using DCNN for Rapid Eye Movement Behavior Disorder,Resting State EEG.,Exploiting compositional structure in data,,N/M,"
Raw EEG",Internal Recordings,Private,"(118 + 74) = 192 subjects
148 windows of 1s per subject
(1s windows)",28416,473.6,192,14,256,Offline,,"1) Band-Pass Filter: 0.3 and 100 Hz  [Hardware]
2) Notch Filter: 60Hz [Hardware]
((FFT) after detrending blocks of 1 second with a Hann window (FFT resolution is 2 Hz))",Yes,N/M,N/M,Spectrogram Frames,Frequency-domain,z-score,,Tensorflow,DCNN,CNN,Conv-Pooling-Dropout,N/M,Yes,"14 x 21 x 20
Channels x FFTBins x Epochs",5,5,ReLU,Dropout,Yes,2,"Parkinson's disease
Healthy",2,N/M*,Standard optimization,Standard,N/M,N/M,N/M,N/M,N/M,N/M,Random replication of subjects in the minority class,Cross-Entropy,Inter,"Leave-Pair-Out
(one subject for each class)",Leave-One-Subject-Out,N/M,"Accuracy
ROC AUC","accuracy, ROC AUC",N/M,,N/M*,"Net: Problem [ N ] ACC (AUC)
DCNN: HC vs PD [2x73 / 2x1]   79% (87%)
RNN: HC vs PD [2x73 / 2x1]     81% (87%)
DCNN: HC+RBD vs PD+DLB [2x159 / 2x1]   73% (78%)
RNN: HC+RBD vs PD+DLB [2x159 / 2x1]     72% (77%)","Stacked RNN
Shallow CNN",DL,No,Maximizing network outputs for a given class,Generating input to maximize activation,"Although here, as in [28], we worked with time-frequency pre-processed data, the field will undoubt- edly steer towards working with raw data in the future when larger datasets become available—as suggested in [21]","""We note that one of the potential issues with our dataset is the presence of healthy controls without
follow up, which may be a confound. \We hope to remedy this by enlarging our database and by
improving our diagnosis and follow up methodologies""",No,N/A,Yes,,Yannick Roy,Isabela Albuquerque,TBC,,Ruffini2018a
